"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 30 19:45:00 GMT 2022","Wed Mar 30 19:45:00 GMT 2022","68","tests.API","test_api","TestAPI","","","test_todo_api",""
"passed","Wed Mar 30 19:44:59 GMT 2022","Wed Mar 30 19:45:00 GMT 2022","520","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
"broken","Wed Mar 30 19:45:00 GMT 2022","Wed Mar 30 19:45:00 GMT 2022","0","tests.Web","test_web","TestWeb","","","test_web",""
