"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 31 15:08:44 GMT 2022","Thu Mar 31 15:08:44 GMT 2022","63","tests.API","test_api","TestAPI","","","test_todo_api",""
"passed","Thu Mar 31 15:08:45 GMT 2022","Thu Mar 31 15:08:46 GMT 2022","607","tests.Web","test_web","TestWeb","","","test_web",""
"passed","Thu Mar 31 15:08:44 GMT 2022","Thu Mar 31 15:08:44 GMT 2022","378","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
