"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 06 15:51:12 GMT 2022","Wed Apr 06 15:51:12 GMT 2022","285","tests.API","test_api","TestAPI","","","test_todo_api",""
"passed","Wed Apr 06 15:51:12 GMT 2022","Wed Apr 06 15:51:12 GMT 2022","553","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
"broken","Wed Apr 06 15:51:12 GMT 2022","Wed Apr 06 15:51:12 GMT 2022","0","tests.Web","test_web","TestWeb","","","test_web",""
