"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 12 16:52:46 GMT 2022","Tue Apr 12 16:52:46 GMT 2022","419","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
"passed","Tue Apr 12 16:52:46 GMT 2022","Tue Apr 12 16:52:46 GMT 2022","40","tests.API","test_api","TestAPI","","","test_todo_api",""
"broken","Tue Apr 12 16:52:46 GMT 2022","Tue Apr 12 16:52:46 GMT 2022","0","tests.Web","test_web","TestWeb","","","test_web",""
