"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 30 20:23:23 GMT 2022","Wed Mar 30 20:23:24 GMT 2022","656","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
"passed","Wed Mar 30 20:23:24 GMT 2022","Wed Mar 30 20:23:24 GMT 2022","137","tests.API","test_api","TestAPI","","","test_todo_api",""
"passed","Wed Mar 30 20:23:25 GMT 2022","Wed Mar 30 20:23:26 GMT 2022","850","tests.Web","test_web","TestWeb","","","test_web",""
