"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 30 19:51:33 GMT 2022","Wed Mar 30 19:51:34 GMT 2022","282","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
"broken","Wed Mar 30 19:51:34 GMT 2022","Wed Mar 30 19:51:34 GMT 2022","0","tests.Web","test_web","TestWeb","","","test_web",""
"passed","Wed Mar 30 19:51:34 GMT 2022","Wed Mar 30 19:51:34 GMT 2022","60","tests.API","test_api","TestAPI","","","test_todo_api",""
