"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 12 17:00:29 GMT 2022","Tue Apr 12 17:00:29 GMT 2022","0","tests.Web","test_web","TestWeb","","","test_web",""
"passed","Tue Apr 12 17:00:28 GMT 2022","Tue Apr 12 17:00:29 GMT 2022","496","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
"passed","Tue Apr 12 17:00:29 GMT 2022","Tue Apr 12 17:00:29 GMT 2022","129","tests.API","test_api","TestAPI","","","test_todo_api",""
