"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 31 15:22:33 GMT 2022","Thu Mar 31 15:22:34 GMT 2022","595","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
"passed","Thu Mar 31 15:22:34 GMT 2022","Thu Mar 31 15:22:34 GMT 2022","89","tests.API","test_api","TestAPI","","","test_todo_api",""
"passed","Thu Mar 31 15:22:35 GMT 2022","Thu Mar 31 15:22:36 GMT 2022","726","tests.Web","test_web","TestWeb","","","test_web",""
