"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 06 15:50:01 GMT 2022","Wed Apr 06 15:50:01 GMT 2022","0","tests.Web","test_web","TestWeb","","","test_web",""
"passed","Wed Apr 06 15:50:01 GMT 2022","Wed Apr 06 15:50:01 GMT 2022","64","tests.API","test_api","TestAPI","","","test_todo_api",""
"passed","Wed Apr 06 15:50:00 GMT 2022","Wed Apr 06 15:50:01 GMT 2022","574","tests.API","test_api","TestAPI","","","test_paybright_token_api",""
